"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_0"
"TS1110","Carthage ",6432
"TS1111","La Medina ",8265
"TS1112","Bab El Bhar ",16125
"TS1113","Bab Souika ",9629
"TS1114","El Omrane ",9779
"TS1115","El Omrane Supérieur ",15679
"TS1116","Ettahrir ",6027
"TS1117","El Menzah ",13707
"TS1118","Cité El Khadhra ",11035
"TS1119","Le Bardo ",19594
"TS111A","Sijoumi ",7190
"TS111B","Ezzouhour ",9601
"TS111C","El Hrairia ",22466
"TS111D","Sidi Hassine ",18458
"TS111E","El Ouardia ",8462
"TS111F","El Kabaria ",20040
"TS111G","Sidi El Béchir ",8694
"TS111H","Djebel Djelloud ",5724
"TS111I","La Goulette ",8638
"TS111J","Le Kram ",16803
"TS111K","La Marsa ",23237
"TS1120","L Ariana Ville  ",32121
"TS1121","Soukra ",25163
"TS1122","Raoued ",17499
"TS1123","Kalaât El Andalous ",4778
"TS1124","Sidi Thabet ",4802
"TS1125","Cité Ettadhamen ",18367
"TS1126","El Mnihla ",14370
"TS1130","Ben Arous  ",8800
"TS1131","La Nouvelle Medina ",11110
"TS1132","El Mourouj ",23444
"TS1133","Hammam Lif ",11549
"TS1134","Hammam Chôtt ",7168
"TS1135","Bou Mhel El Bassatine ",7831
"TS1136","Ezzahra ",9783
"TS1137","Radès ",13465
"TS1138","Megrine ",6511
"TS1139","Mohamedia ",11110
"TS113A","Fouchana ",13833
"TS113B","Mornag ",11460
"TS1140","Mannouba  ",13897
"TS1141","Douar Hicher ",15779
"TS1142","Oued Ellil ",13377
"TS1143","Mornaguia ",7524
"TS1144","Borj Amri ",3236
"TS1145","Djedeida ",8727
"TS1146","Tebourba ",8334
"TS1147","El Battane ",3392
"TS1150","Nabeul  ",18733
"TS1151","Dar Châabane El Fehri ",10817
"TS1152","Beni khiar ",10912
"TS1153","Korba ",15630
"TS1154","Menzel Temime ",15319
"TS1155","El Mida ",5894
"TS1156","Kelibia ",15238
"TS1157","Hammam El Guezaz ",3780
"TS1158","El Haouaria ",10106
"TS1159","Takelsa ",4123
"TS115A","Soliman ",10783
"TS115B","Menzel Bouzelfa ",8442
"TS115C","Beni Khalled ",8077
"TS115D","Grombalia ",12521
"TS115E","Bou Argoub ",5955
"TS115F","Hammamet ",30254
"TS1160","Zaghouan  ",8328
"TS1161","Ez-Zeriba ",4820
"TS1162","Bir Mchergua ",4489
"TS1163","El Fahs ",9284
"TS1164","En-Nadhour ",5540
"TS1165","Saouaf ",2498
"TS1170","Bizerte Nord  ",24081
"TS1171","Zarzouna ",6876
"TS1172","Bizerte Sud ",10431
"TS1173","Sedjnane ",9140
"TS1174","Djoumine ",6789
"TS1175","Mateur ",10922
"TS1176","Ghezala ",6261
"TS1177","Menzel Bourguiba ",14142
"TS1178","Tinja ",5052
"TS1179","Utique ",3722
"TS117A","Ghar El Meleh ",4664
"TS117B","Menzel Djemil ",12556
"TS117C","El Alia ",6069
"TS117D","Ras Djebel ",16935
"TS1210","Béja Nord  ",17316
"TS1211","Béja Sud ",9163
"TS1212","Amdoun ",4976
"TS1213","Nefza ",12584
"TS1214","Teboursouk ",5811
"TS1215","Tibar ",2690
"TS1216","Testour ",7768
"TS1217","Goubellat ",3099
"TS1218","Medjez El Bab ",8651
"TS1220","Jendouba  ",16522
"TS1221","Jendouba Nord ",10355
"TS1222","Bou Salem ",8841
"TS1223","Tabarka ",922
"TS1224","Ain Draham ",10689
"TS1225","Fernana ",12424
"TS1226","Ghardimaou ",16342
"TS1227","Oued Meliz ",4687
"TS1228","Balta - Bou Aouane ",9836
"TS1230","Kef Ouest  ",10824
"TS1231","Kef Est ",7840
"TS1232","Nebeur ",6766
"TS1233","Sakiet Sidi Youssef ",5144
"TS1234","Tajerouine ",7941
"TS1235","Kalâat Snan ",4156
"TS1236","Kalâat Khasbah ",1837
"TS1237","Djerissa ",3093
"TS1238","El Ksour ",3589
"TS1239","Dahmani ",6925
"TS123A","Es-Sers ",5786
"TS1240","Siliana Nord  ",6012
"TS1241","Siliana Sud ",6531
"TS1242","Bou Arada ",4703
"TS1243","Gaâfour ",4700
"TS1244","El Krib ",4796
"TS1245","Bourouis ",3216
"TS1246","Makthar ",6383
"TS1247","Er-Rouhia ",5341
"TS1248","Kesra ",3698
"TS1249","Bargou ",3134
"TS124A","El Aroussa ",2561
"TS2110","Sousse Medina  ",11946
"TS2111","Sousse Riadh ",17941
"TS2112","Sousse Jawhara ",19738
"TS2113","Sousse Sidi Abdelhamid ",11508
"TS2114","Hammam Sousse ",12503
"TS2115","Akouda ",8439
"TS2116","Kalaâ Kebira ",10693
"TS2117","Sidi Bou Ali ",4435
"TS2118","Hergla ",2111
"TS2119","Enfidha ",9325
"TS211A","Bouficha ",5241
"TS211B","Kondar ",2186
"TS211C","Sidi El Héni ",2727
"TS211D","M saken ",25073
"TS211E","Kalaâ Seghira ",7267
"TS2120","Monastir  ",27047
"TS2121","Ouerdanine ",4486
"TS2122","Sahline ",5791
"TS2123","Zermadine ",5914
"TS2124","Beni Hassen ",3489
"TS2125","Jammel ",13239
"TS2126","Bembla ",5907
"TS2127","Moknine ",16561
"TS2128","Bekalta ",3847
"TS2129","Teboulba ",7498
"TS212A","Ksar Helal ",10453
"TS212B","Ksibet El Mediouni ",6889
"TS212C","Sayada-Lamta Bou-Hjar ",6273
"TS2130","Mahdia  ",20666
"TS2131","Bou Merdès ",6291
"TS2132","Ouled Chamekh ",5152
"TS2133","Chorbane ",6033
"TS2134","Hebira ",2703
"TS2135","Essouassi ",9263
"TS2136","El Djem ",9330
"TS2137","Chebba ",8513
"TS2138","Melloulech ",4425
"TS2139","Sidi Alouane ",8325
"TS213A","Ksour Essef ",15569
"TS2140","Sfax Ville  ",34872
"TS2141","Sfax Ouest ",30495
"TS2142","Sakiet Ezzit ",20266
"TS2143","Sakiet Eddaïer ",27219
"TS2144","Sfax Sud ",27426
"TS2145","Tina ",11627
"TS2146","Agareb ",8625
"TS2147","Djebeniana ",10751
"TS2148","El Amra ",7116
"TS2149","El Hencha ",9826
"TS214A","Menzel Chaker ",8261
"TS214B","Ghraiba ",3236
"TS214C","Bir ali Ben Kelifa ",11368
"TS214D","Skhira ",5459
"TS214E","Mahres ",9014
"TS214F","Kerkenah ",7497
"TS2210","Kairouan Nord  ",21092
"TS2211","Kairouan Sud ",18651
"TS2212","Echebika ",6901
"TS2213","Sbikha ",12868
"TS2214","EL Ouslatia ",8375
"TS2215","Haffouz ",8157
"TS2216","El Alâa ",6775
"TS2217","Hajeb el Ayoun ",7128
"TS2218","Nasrallah ",8178
"TS2219","Echrarda ",6130
"TS221A","Bouhajla ",14582
"TS2220","Kasserine Nord  ",13467
"TS2221","Kasserine Sud ",4823
"TS2222","Ezzouhour ",4402
"TS2223","Hassi Ferid ",3681
"TS2224","Sbeitla ",15083
"TS2225","Sbiba ",7640
"TS2226","Djedeliane ",2579
"TS2227","El Ayoun ",3601
"TS2228","Thala ",8298
"TS2229","Hidra ",2685
"TS222A","Foussana ",9259
"TS222B","Feriana ",9637
"TS222C","Majel Bel Abbès ",4582
"TS2230","Sidi Bouzid Ouest  ",14955
"TS2231","Sidi Bouzid Est ",10361
"TS2232","Jilma ",6665
"TS2233","Cebalet Ouled Asker ",4424
"TS2234","Bir El Hafey ",8208
"TS2235","Sidi Ali Ben Aoûn ",5628
"TS2236","Menzel Bouzaïenne ",6120
"TS2237","Meknassy ",5578
"TS2238","Souk Jedid ",4034
"TS2239","Mezzouna ",4425
"TS223A","Regueb ",13042
"TS223B","Ouled Haffouz ",5864
"TS3110","Gabes Medina  ",12096
"TS3111","Gabes Ouest ",6720
"TS3112","Gabes Sud ",15309
"TS3113","Ghanouch ",3700
"TS3114","El Metouia ",6228
"TS3115","Menzel El Habib ",2666
"TS3116","El Hamma ",13111
"TS3117","Matmata ",2083
"TS3118","Nouvelle Matmata ",5070
"TS3119","Mareth ",15042
"TS3120","Medenine Nord  ",12298
"TS3121","Medenine Sud ",11376
"TS3122","Beni Khedech ",8836
"TS3123","Ben Guerdane ",16008
"TS3124","Zarzis ",21992
"TS3125","Djerba Houmet Souk ",19642
"TS3126","Djerba Midoun ",16046
"TS3127","Djerba Ajim ",7015
"TS3128","Sidi Makhloulf ",6795
"TS3130","Tataouine Nord  ",11859
"TS3131","Tataouine Sud ",7797
"TS3132","Smâr ",2948
"TS3133","Bir Lahmar ",2687
"TS3134","Ghomrassen ",6027
"TS3135","Dhehiba ",998
"TS3136","Remada ",2261
"TS3210","Gafsa Nord  ",2258
"TS3211","Sidi Aïch ",2106
"TS3212","El Ksar ",7128
"TS3213","Gafsa Sud ",21539
"TS3214","Oum El Araies ",7298
"TS3215","Redeyef ",5913
"TS3216","Metlaoui ",8805
"TS3217","Mdhila ",3078
"TS3218","EL Guetar ",4549
"TS3219","Belkhir ",3068
"TS321A","Sned ",7139
"TS3220","Tozeur  ",9524
"TS3221","Degach ",6140
"TS3222","Tameghza ",1474
"TS3223","Nefta ",4989
"TS3224","Hazoua ",699
"TS3230","Kebili Sud  ",5854
"TS3231","Kebeli Nord ",6929
"TS3232","Souk El Ahed ",5933
"TS3233","Douz Nord ",5007
"TS3234","Douz Sud ",3053
"TS3235","Faouar ",3528
