"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_0"
"TS1110","Carthage ",20715
"TS1111","La Medina ",26703
"TS1112","Bab El Bhar ",39806
"TS1113","Bab Souika ",33284
"TS1114","El Omrane ",40801
"TS1115","El Omrane Supérieur ",62138
"TS1116","Ettahrir ",21956
"TS1117","El Menzah ",43320
"TS1118","Cité El Khadhra ",36818
"TS1119","Le Bardo ",70244
"TS111A","Sijoumi ",36171
"TS111B","Ezzouhour ",40434
"TS111C","El Hrairia ",96245
"TS111D","Sidi Hassine ",79381
"TS111E","El Ouardia ",33734
"TS111F","El Kabaria ",81261
"TS111G","Sidi El Béchir ",29911
"TS111H","Djebel Djelloud ",26490
"TS111I","La Goulette ",28407
"TS111J","Le Kram ",58152
"TS111K","La Marsa ",77890
"TS1120","L Ariana Ville  ",97687
"TS1121","Soukra ",89151
"TS1122","Raoued ",60896
"TS1123","Kalaât El Andalous ",23045
"TS1124","Sidi Thabet ",19404
"TS1125","Cité Ettadhamen ",78311
"TS1126","El Mnihla ",53752
"TS1130","Ben Arous  ",32329
"TS1131","La Nouvelle Medina ",42603
"TS1132","El Mourouj ",81986
"TS1133","Hammam Lif ",38401
"TS1134","Hammam Chôtt ",24847
"TS1135","Bou Mhel El Bassatine ",27977
"TS1136","Ezzahra ",31792
"TS1137","Radès ",44857
"TS1138","Megrine ",24031
"TS1139","Mohamedia ",46613
"TS113A","Fouchana ",56628
"TS113B","Mornag ",53709
"TS1140","Mannouba  ",51398
"TS1141","Douar Hicher ",75959
"TS1142","Oued Ellil ",58544
"TS1143","Mornaguia ",35129
"TS1144","Borj Amri ",16184
"TS1145","Djedeida ",40327
"TS1146","Tebourba ",41050
"TS1147","El Battane ",17321
"TS1150","Nabeul  ",59490
"TS1151","Dar Châabane El Fehri ",39477
"TS1152","Beni khiar ",35565
"TS1153","Korba ",60564
"TS1154","Menzel Temime ",59463
"TS1155","El Mida ",23667
"TS1156","Kelibia ",53648
"TS1157","Hammam El Guezaz ",14324
"TS1158","El Haouaria ",39378
"TS1159","Takelsa ",20169
"TS115A","Soliman ",41846
"TS115B","Menzel Bouzelfa ",33599
"TS115C","Beni Khalled ",33897
"TS115D","Grombalia ",55489
"TS115E","Bou Argoub ",27846
"TS115F","Hammamet ",95468
"TS1160","Zaghouan  ",34367
"TS1161","Ez-Zeriba ",20765
"TS1162","Bir Mchergua ",21508
"TS1163","El Fahs ",43678
"TS1164","En-Nadhour ",28550
"TS1165","Saouaf ",12095
"TS1170","Bizerte Nord  ",75234
"TS1171","Zarzouna ",24428
"TS1172","Bizerte Sud ",45227
"TS1173","Sedjnane ",42156
"TS1174","Djoumine ",35213
"TS1175","Mateur ",47562
"TS1176","Ghezala ",27799
"TS1177","Menzel Bourguiba ",54804
"TS1178","Tinja ",19444
"TS1179","Utique ",18266
"TS117A","Ghar El Meleh ",18525
"TS117B","Menzel Djemil ",39691
"TS117C","El Alia ",24539
"TS117D","Ras Djebel ",51240
"TS1210","Béja Nord  ",67471
"TS1211","Béja Sud ",38396
"TS1212","Amdoun ",22484
"TS1213","Nefza ",53195
"TS1214","Teboursouk ",24327
"TS1215","Tibar ",10509
"TS1216","Testour ",32772
"TS1217","Goubellat ",16383
"TS1218","Medjez El Bab ",38964
"TS1220","Jendouba  ",68597
"TS1221","Jendouba Nord ",44195
"TS1222","Bou Salem ",36061
"TS1223","Tabarka ",45494
"TS1224","Ain Draham ",40372
"TS1225","Fernana ",52690
"TS1226","Ghardimaou ",67955
"TS1227","Oued Meliz ",19015
"TS1228","Balta - Bou Aouane ",42229
"TS1230","Kef Ouest  ",29951
"TS1231","Kef Est ",40456
"TS1232","Nebeur ",28328
"TS1233","Sakiet Sidi Youssef ",20527
"TS1234","Tajerouine ",30659
"TS1235","Kalâat Snan ",16454
"TS1236","Kalâat Khasbah ",7353
"TS1237","Djerissa ",11298
"TS1238","El Ksour ",17100
"TS1239","Dahmani ",30749
"TS123A","Es-Sers ",25915
"TS1240","Siliana Nord  ",26102
"TS1241","Siliana Sud ",29286
"TS1242","Bou Arada ",20877
"TS1243","Gaâfour ",17963
"TS1244","El Krib ",21546
"TS1245","Bourouis ",15712
"TS1246","Makthar ",31139
"TS1247","Er-Rouhia ",29991
"TS1248","Kesra ",17763
"TS1249","Bargou ",13823
"TS124A","El Aroussa ",9783
"TS2110","Sousse Medina  ",29680
"TS2111","Sousse Riadh ",65333
"TS2112","Sousse Jawhara ",62663
"TS2113","Sousse Sidi Abdelhamid ",46257
"TS2114","Hammam Sousse ",34685
"TS2115","Akouda ",25717
"TS2116","Kalaâ Kebira ",51196
"TS2117","Sidi Bou Ali ",17606
"TS2118","Hergla ",7913
"TS2119","Enfidha ",43426
"TS211A","Bouficha ",23581
"TS211B","Kondar ",11636
"TS211C","Sidi El Héni ",11614
"TS211D","M saken ",85380
"TS211E","Kalaâ Seghira ",27726
"TS2120","Monastir  ",81294
"TS2121","Ouerdanine ",18852
"TS2122","Sahline ",21799
"TS2123","Zermadine ",25947
"TS2124","Beni Hassen ",12650
"TS2125","Jammel ",55272
"TS2126","Bembla ",27382
"TS2127","Moknine ",75885
"TS2128","Bekalta ",13695
"TS2129","Teboulba ",31154
"TS212A","Ksar Helal ",39991
"TS212B","Ksibet El Mediouni ",28722
"TS212C","Sayada-Lamta Bou-Hjar ",22947
"TS2130","Mahdia  ",71719
"TS2131","Bou Merdès ",29559
"TS2132","Ouled Chamekh ",22732
"TS2133","Chorbane ",28577
"TS2134","Hebira ",11057
"TS2135","Essouassi ",46276
"TS2136","El Djem ",41064
"TS2137","Chebba ",23334
"TS2138","Melloulech ",19464
"TS2139","Sidi Alouane ",35272
"TS213A","Ksour Essef ",48799
"TS2140","Sfax Ville  ",105958
"TS2141","Sfax Ouest ",104998
"TS2142","Sakiet Ezzit ",72481
"TS2143","Sakiet Eddaïer ",98988
"TS2144","Sfax Sud ",101904
"TS2145","Tina ",45647
"TS2146","Agareb ",35841
"TS2147","Djebeniana ",44029
"TS2148","El Amra ",28723
"TS2149","El Hencha ",43170
"TS214A","Menzel Chaker ",34119
"TS214B","Ghraiba ",14647
"TS214C","Bir ali Ben Kelifa ",50059
"TS214D","Skhira ",29616
"TS214E","Mahres ",30676
"TS214F","Kerkenah ",14400
"TS2210","Kairouan Nord  ",83794
"TS2211","Kairouan Sud ",80444
"TS2212","Echebika ",33889
"TS2213","Sbikha ",67315
"TS2214","EL Ouslatia ",36195
"TS2215","Haffouz ",43792
"TS2216","El Alâa ",31773
"TS2217","Hajeb el Ayoun ",35403
"TS2218","Nasrallah ",37112
"TS2219","Echrarda ",25903
"TS221A","Bouhajla ",70589
"TS2220","Kasserine Nord  ",58343
"TS2221","Kasserine Sud ",21139
"TS2222","Ezzouhour ",20277
"TS2223","Hassi Ferid ",16890
"TS2224","Sbeitla ",69539
"TS2225","Sbiba ",42091
"TS2226","Djedeliane ",13205
"TS2227","El Ayoun ",18634
"TS2228","Thala ",34508
"TS2229","Hidra ",8716
"TS222A","Foussana ",41240
"TS222B","Feriana ",45787
"TS222C","Majel Bel Abbès ",21909
"TS2230","Sidi Bouzid Ouest  ",65761
"TS2231","Sidi Bouzid Est ",48371
"TS2232","Jilma ",36861
"TS2233","Cebalet Ouled Asker ",18618
"TS2234","Bir El Hafey ",33979
"TS2235","Sidi Ali Ben Aoûn ",24896
"TS2236","Menzel Bouzaïenne ",23668
"TS2237","Meknassy ",22617
"TS2238","Souk Jedid ",19210
"TS2239","Mezzouna ",22839
"TS223A","Regueb ",58776
"TS223B","Ouled Haffouz ",19910
"TS3110","Gabes Medina  ",47057
"TS3111","Gabes Ouest ",28389
"TS3112","Gabes Sud ",61699
"TS3113","Ghanouch ",22681
"TS3114","El Metouia ",25862
"TS3115","Menzel El Habib ",11477
"TS3116","El Hamma ",62390
"TS3117","Matmata ",5766
"TS3118","Nouvelle Matmata ",15969
"TS3119","Mareth ",61340
"TS3120","Medenine Nord  ",48102
"TS3121","Medenine Sud ",48087
"TS3122","Beni Khedech ",28586
"TS3123","Ben Guerdane ",70907
"TS3124","Zarzis ",73549
"TS3125","Djerba Houmet Souk ",64919
"TS3126","Djerba Midoun ",50459
"TS3127","Djerba Ajim ",24166
"TS3128","Sidi Makhloulf ",23728
"TS3130","Tataouine Nord  ",54362
"TS3131","Tataouine Sud ",33783
"TS3132","Smâr ",13826
"TS3133","Bir Lahmar ",9270
"TS3134","Ghomrassen ",18335
"TS3135","Dhehiba ",3971
"TS3136","Remada ",9977
"TS3210","Gafsa Nord  ",9407
"TS3211","Sidi Aïch ",8297
"TS3212","El Ksar ",32186
"TS3213","Gafsa Sud ",90742
"TS3214","Oum El Araies ",31733
"TS3215","Redeyef ",27940
"TS3216","Metlaoui ",38938
"TS3217","Mdhila ",14841
"TS3218","EL Guetar ",19942
"TS3219","Belkhir ",15159
"TS321A","Sned ",34524
"TS3220","Tozeur  ",39862
"TS3221","Degach ",26596
"TS3222","Tameghza ",6362
"TS3223","Nefta ",20544
"TS3224","Hazoua ",4162
"TS3230","Kebili Sud  ",28040
"TS3231","Kebeli Nord ",29429
"TS3232","Souk El Ahed ",26732
"TS3233","Douz Nord ",25534
"TS3234","Douz Sud ",17187
"TS3235","Faouar ",16296
